"Date","Close","Open","High","Low","Volume","Change %"
"2020-Oct-01","38.72","39.90","40.47","37.61","443.44K","-3.73%"
"2020-Sep-30","40.22","39.16","40.37","38.68","340.29K","2.37%"
"2020-Sep-29","39.29","40.58","40.70","38.41","379.60K","-3.23%"
"2020-Sep-28","40.60","40.07","40.80","39.78","226.43K","0.87%"
"2020-Sep-25","40.25","40.15","40.64","39.71","229.03K","-0.15%"
"2020-Sep-24","40.31","39.60","40.37","39.12","269.99K","0.95%"
"2020-Sep-23","39.93","39.76","40.75","39.26","318.75K","0.83%"
"2020-Sep-22","39.60","39.63","40.02","39.00","23.22K","0.74%"
"2020-Sep-21","39.31","40.98","41.27","38.66","66.20K","-4.38%"
"2020-Sep-18","41.11","40.97","41.49","40.30","73.76K","0.34%"
"2020-Sep-17","40.97","40.19","41.22","39.42","280.67K","2.02%"
"2020-Sep-16","40.16","38.35","40.34","38.35","367.61K","4.91%"
"2020-Sep-15","38.28","37.28","38.57","37.06","348.86K","2.74%"
"2020-Sep-14","37.26","37.32","37.68","36.82","347.56K","-0.19%"
"2020-Sep-11","37.33","37.01","37.82","36.67","363.79K","0.08%"
"2020-Sep-10","37.30","37.80","38.18","36.93","367.56K","-1.97%"
"2020-Sep-09","38.05","36.79","38.45","36.16","455.36K","3.51%"
"2020-Sep-08","36.76","39.48","39.59","36.13","720.98K","-6.22%"
"2020-Sep-07","39.20","38.77","39.53","38.77","-","1.16%"
"2020-Sep-06","38.75","39.47","39.48","38.57","-","-2.56%"
"2020-Sep-04","39.77","41.25","41.87","39.35","444.18K","-3.87%"
"2020-Sep-03","41.37","41.63","41.79","40.22","417.63K","-0.34%"
"2020-Sep-02","41.51","43.02","43.21","41.23","421.77K","-2.92%"
"2020-Sep-01","42.76","42.83","43.43","42.72","285.15K","0.35%"
"2020-Aug-31","42.61","42.91","43.57","42.56","236.88K","-0.84%"
"2020-Aug-28","42.97","42.98","43.42","42.69","272.80K","-0.16%"
"2020-Aug-27","43.04","43.45","43.50","42.36","320.97K","-0.81%"
"2020-Aug-26","43.39","43.39","43.78","43.00","262.24K","0.09%"
"2020-Aug-25","43.35","42.36","43.57","42.31","330.80K","1.71%"
"2020-Aug-24","42.62","42.48","42.89","42.23","294.73K","0.66%"
"2020-Aug-21","42.34","42.75","42.96","41.46","345.37K","-0.56%"
"2020-Aug-20","42.58","42.74","42.79","41.50","27.43K","-0.82%"
"2020-Aug-19","42.93","42.60","43.03","42.36","81.30K","0.09%"
"2020-Aug-18","42.89","42.79","42.99","42.11","111.63K","0.00%"
"2020-Aug-17","42.89","42.24","42.97","41.80","208.43K","2.09%"
"2020-Aug-14","42.01","42.33","42.57","41.62","310.87K","-0.54%"
"2020-Aug-13","42.24","42.57","42.84","42.09","329.51K","-1.01%"
"2020-Aug-12","42.67","41.62","42.90","41.53","397.83K","2.55%"
"2020-Aug-11","41.61","41.98","42.94","41.48","432.84K","-0.79%"
"2020-Aug-10","41.94","41.50","42.33","41.17","367.80K","1.75%"
"2020-Aug-07","41.22","41.97","42.22","41.06","399.00K","-1.74%"
"2020-Aug-06","41.95","42.19","42.65","41.61","359.61K","-0.57%"
"2020-Aug-05","42.19","41.56","43.52","41.47","491.27K","1.18%"
"2020-Aug-04","41.70","40.78","42.08","40.14","451.58K","1.68%"
"2020-Aug-03","41.01","40.39","41.24","39.58","338.33K","1.84%"
"2020-Jul-31","40.27","40.34","40.55","39.66","318.79K","0.88%"
"2020-Jul-30","39.92","41.32","41.39","38.72","487.33K","-3.27%"
"2020-Jul-29","41.27","41.13","41.57","40.93","295.86K","0.56%"
"2020-Jul-28","41.04","41.65","41.93","40.85","276.80K","-1.35%"
"2020-Jul-27","41.60","41.26","41.82","40.48","377.71K","0.75%"
"2020-Jul-24","41.29","41.06","41.67","40.66","353.16K","0.54%"
"2020-Jul-23","41.07","41.95","42.36","40.83","389.41K","-1.98%"
"2020-Jul-22","41.90","41.54","42.03","41.14","333.65K","-0.14%"
"2020-Jul-21","41.96","40.65","42.40","40.64","25.62K","2.82%"
"2020-Jul-20","40.81","40.64","40.91","39.83","60.18K","0.54%"
"2020-Jul-17","40.59","40.72","40.90","40.02","88.22K","-0.39%"
"2020-Jul-16","40.75","40.97","41.18","40.52","200.10K","-1.09%"
"2020-Jul-15","41.20","40.55","41.26","40.08","352.54K","2.26%"
"2020-Jul-14","40.29","39.60","40.57","39.07","426.97K","0.47%"
"2020-Jul-13","40.10","40.35","40.72","39.47","370.72K","-1.11%"
"2020-Jul-10","40.55","39.58","40.77","38.54","393.15K","2.35%"
"2020-Jul-09","39.62","40.87","40.99","39.27","367.39K","-3.13%"
"2020-Jul-08","40.90","40.48","41.08","40.30","286.74K","0.69%"
"2020-Jul-07","40.62","40.68","40.95","39.90","256.60K","-0.02%"
"2020-Jul-06","40.63","40.31","41.08","39.84","373.24K","0.87%"
"2020-Jul-03","40.28","40.23","40.50","39.86","-","-0.91%"
"2020-Jul-02","40.65","39.78","40.74","39.46","347.10K","2.08%"
"2020-Jul-01","39.82","39.84","40.58","39.05","407.17K","1.40%"
"2020-Jun-30","39.27","39.64","40.08","38.85","370.06K","-1.08%"
"2020-Jun-29","39.70","37.96","39.89","37.50","343.91K","3.14%"
"2020-Jun-26","38.49","39.09","39.35","37.79","356.71K","-0.59%"
"2020-Jun-25","38.72","38.05","39.23","37.08","451.64K","1.87%"
"2020-Jun-24","38.01","39.99","40.54","37.31","499.49K","-5.85%"
"2020-Jun-23","40.37","40.68","41.63","39.76","368.73K","-0.22%"
"2020-Jun-22","40.46","39.18","40.70","39.12","29.89K","1.79%"
"2020-Jun-19","39.75","38.85","40.49","38.40","64.11K","2.34%"
"2020-Jun-18","38.84","37.74","38.97","37.11","113.38K","2.32%"
"2020-Jun-17","37.96","37.93","38.75","37.21","239.52K","-1.09%"
"2020-Jun-16","38.38","37.05","39.06","36.38","366.32K","3.39%"
"2020-Jun-15","37.12","36.03","37.26","34.36","387.55K","2.37%"
"2020-Jun-12","36.26","36.26","36.99","34.48","406.51K","-0.22%"
"2020-Jun-11","36.34","39.09","39.09","35.41","513.91K","-8.23%"
"2020-Jun-10","39.60","38.50","39.91","37.73","385.87K","1.69%"
"2020-Jun-09","38.94","38.22","39.10","37.07","396.03K","1.96%"
"2020-Jun-08","38.19","39.41","40.44","37.96","416.64K","-3.44%"
"2020-Jun-05","39.55","37.33","39.68","37.05","396.86K","5.72%"
"2020-Jun-04","37.41","36.76","37.62","36.38","307.61K","0.32%"
"2020-Jun-03","37.29","36.86","38.18","35.88","494.25K","1.30%"
"2020-Jun-02","36.81","35.56","37.06","35.28","343.48K","3.87%"
"2020-Jun-01","35.44","35.21","35.90","34.27","385.71K","-0.14%"
"2020-May-29","35.49","33.68","35.77","32.36","443.65K","5.28%"
"2020-May-28","33.71","32.10","34.21","31.14","440.17K","2.74%"
"2020-May-27","32.81","34.14","34.32","31.75","415.25K","-4.48%"
"2020-May-26","34.35","33.30","34.81","32.48","466.74K","1.27%"
"2020-May-25","33.92","32.92","34.18","32.72","-","3.10%"
"2020-May-24","32.90","33.38","33.42","32.50","-","-1.05%"
"2020-May-22","33.25","33.95","34.00","30.72","429.04K","-1.98%"
"2020-May-21","33.92","33.53","34.66","33.26","372.81K","1.28%"
"2020-May-20","33.49","31.89","33.78","31.56","406.43K","3.05%"
"2020-May-19","32.50","32.83","33.44","31.34","36.07K","2.14%"
"2020-May-18","31.82","29.53","33.32","29.53","89.38K","8.12%"
"2020-May-15","29.43","27.64","29.92","27.24","108.02K","6.79%"
"2020-May-14","27.56","25.56","27.96","25.18","160.51K","8.98%"
"2020-May-13","25.29","25.30","26.45","24.79","150.86K","-1.90%"
"2020-May-12","25.78","24.49","26.23","24.22","212.34K","6.79%"
"2020-May-11","24.14","24.49","25.58","23.67","179.59K","-2.43%"
"2020-May-08","24.74","23.35","24.99","23.26","205.18K","5.05%"
"2020-May-07","23.55","24.09","26.74","22.94","310.26K","-1.83%"
"2020-May-06","23.99","25.52","26.08","22.58","381.17K","-2.32%"
"2020-May-05","24.56","21.24","25.49","21.13","387.24K","20.45%"
"2020-May-04","20.39","19.11","21.42","18.05","311.49K","3.08%"
"2020-May-01","19.78","19.04","20.48","18.07","403.20K","4.99%"
"2020-Apr-30","18.84","15.64","19.44","15.45","545.34K","25.10%"
"2020-Apr-29","15.06","13.35","16.78","12.67","554.13K","22.04%"
"2020-Apr-28","12.34","12.96","13.69","10.07","897.09K","-3.44%"
"2020-Apr-27","12.78","16.84","16.98","11.88","623.20K","-24.56%"
"2020-Apr-24","16.94","16.78","17.97","15.64","600.22K","2.67%"
"2020-Apr-23","16.50","14.20","18.26","13.35","833.58K","19.74%"
"2020-Apr-22","13.78","13.12","16.18","10.26","1.24M","37.66%"
"2020-Apr-21","10.01","-14.00","13.86","-16.74","18.44K","-126.60%"
"2020-Apr-20","-37.63","17.73","17.85","-40.32","247.95K","-305.97%"
"2020-Apr-17","18.27","20.00","20.22","17.31","240.63K","-8.05%"
"2020-Apr-16","19.87","20.15","20.53","19.42","350.94K","0.00%"
"2020-Apr-15","19.87","20.72","20.89","19.20","544.80K","-1.19%"
"2020-Apr-14","20.11","22.36","23.08","19.95","785.48K","-10.26%"
"2020-Apr-13","22.41","24.60","24.74","22.03","775.12K","-1.54%"
"2020-Apr-09","22.76","26.28","28.36","22.57","1.12M","-9.29%"
"2020-Apr-08","25.09","24.30","26.45","23.74","823.55K","6.18%"
"2020-Apr-07","23.63","26.34","27.24","23.54","797.71K","-9.39%"
"2020-Apr-06","26.08","26.09","28.24","25.28","752.71K","-7.97%"
"2020-Apr-03","28.34","24.81","29.13","23.52","1.01M","11.93%"
"2020-Apr-02","25.32","21.22","27.39","20.76","1.10M","24.67%"
"2020-Apr-01","20.31","20.10","21.55","19.90","703.29K","-0.83%"
"2020-Mar-31","20.48","20.23","21.89","20.01","660.08K","1.94%"
"2020-Mar-30","20.09","20.93","20.93","19.27","758.71K","-6.60%"
"2020-Mar-27","21.51","23.29","23.44","20.88","603.12K","-4.82%"
"2020-Mar-26","22.60","24.25","24.65","22.38","633.88K","-7.72%"
"2020-Mar-25","24.49","24.37","25.24","22.91","618.73K","2.00%"
"2020-Mar-24","24.01","23.87","25.16","23.09","659.70K","2.78%"
"2020-Mar-23","23.36","22.52","24.07","20.80","852.95K","4.15%"
"2020-Mar-20","22.43","24.73","27.89","19.46","29.76K","-11.06%"
"2020-Mar-19","25.22","22.30","27.71","21.36","136.72K","23.81%"
"2020-Mar-18","20.37","26.94","27.22","20.06","309.48K","-24.42%"
"2020-Mar-17","26.95","28.69","30.30","26.63","545.82K","-6.10%"
"2020-Mar-16","28.70","33.75","33.75","28.10","698.83K","-9.55%"
"2020-Mar-13","31.73","30.77","33.87","30.33","743.13K","0.73%"
"2020-Mar-12","31.50","33.07","33.63","30.02","1.03M","-4.49%"
"2020-Mar-11","32.98","34.62","36.35","32.56","874.65K","-4.02%"
"2020-Mar-10","34.36","30.37","35.02","30.20","1.06M","10.38%"
"2020-Mar-09","31.13","32.87","34.88","27.34","1.77M","-24.59%"
"2020-Mar-06","41.28","46.09","46.38","41.05","1.28M","-10.07%"
"2020-Mar-05","45.90","47.13","47.57","45.65","704.59K","-1.88%"
"2020-Mar-04","46.78","46.94","48.41","46.65","745.86K","-0.85%"
"2020-Mar-03","47.18","47.72","48.66","46.47","1.01M","0.92%"
"2020-Mar-02","46.75","43.70","47.56","43.32","949.47K","4.45%"
"2020-Feb-28","44.76","46.49","47.03","43.85","1.10M","-4.95%"
"2020-Feb-27","47.09","48.63","48.78","45.88","1.01M","-3.37%"
"2020-Feb-26","48.73","50.08","50.44","48.30","884.48K","-2.34%"
"2020-Feb-25","49.90","51.37","52.02","49.69","764.99K","-2.97%"
"2020-Feb-24","51.43","52.60","52.64","50.45","765.52K","-3.65%"
"2020-Feb-21","53.38","53.74","53.86","52.55","707.56K","-0.74%"
"2020-Feb-20","53.78","53.50","54.50","53.22","30.67K","0.92%"
"2020-Feb-19","53.29","52.12","53.66","51.93","113.68K","2.38%"
"2020-Feb-18","52.05","52.23","52.41","50.88","221.77K","-0.29%"
"2020-Feb-17","52.20","52.34","52.59","52.05","-","-0.31%"
"2020-Feb-16","52.36","52.45","52.63","52.34","-","0.60%"
"2020-Feb-14","52.05","51.51","52.34","51.32","607.34K","1.23%"
"2020-Feb-13","51.42","51.72","51.96","50.60","745.40K","0.49%"
"2020-Feb-12","51.17","49.96","51.73","49.95","795.26K","2.46%"
"2020-Feb-11","49.94","49.61","50.69","49.58","725.73K","0.75%"
"2020-Feb-10","49.57","50.12","50.49","49.42","715.89K","-1.49%"
"2020-Feb-07","50.32","51.11","51.48","50.09","768.35K","-1.24%"
"2020-Feb-06","50.95","51.17","52.20","50.24","750.66K","0.39%"
"2020-Feb-05","50.75","49.51","51.88","49.47","887.95K","2.30%"
"2020-Feb-04","49.61","49.94","51.55","49.31","859.36K","-1.00%"
"2020-Feb-03","50.11","51.01","51.97","49.80","876.04K","-2.81%"
"2020-Jan-31","51.56","52.92","53.36","50.97","827.91K","-1.11%"
"2020-Jan-30","52.14","53.09","53.20","51.66","720.12K","-2.23%"
"2020-Jan-29","53.33","53.97","54.37","52.81","624.98K","-0.28%"
"2020-Jan-28","53.48","52.77","54.06","52.68","633.96K","0.64%"
"2020-Jan-27","53.14","53.70","53.71","52.13","712.88K","-1.94%"
"2020-Jan-24","54.19","55.69","55.95","53.85","586.20K","-2.52%"
"2020-Jan-23","55.59","56.11","56.27","54.77","704.00K","-2.03%"
"2020-Jan-22","56.74","58.26","58.38","56.03","620.12K","-2.74%"
"2020-Jan-21","58.34","59.17","59.73","57.68","50.18K","-0.66%"
"2020-Jan-20","58.73","59.28","59.32","58.56","-","-0.91%"
"2020-Jan-19","59.27","59.36","59.66","59.20","-","1.25%"
"2020-Jan-17","58.54","58.59","58.98","58.27","122.56K","0.03%"
"2020-Jan-16","58.52","58.10","58.87","57.56","182.87K","1.23%"
"2020-Jan-15","57.81","58.20","58.36","57.36","433.17K","-0.72%"
"2020-Jan-14","58.23","58.03","58.72","57.72","507.71K","0.26%"
"2020-Jan-13","58.08","59.04","59.27","57.91","584.00K","-1.63%"
"2020-Jan-10","59.04","59.61","59.78","58.85","596.19K","-0.87%"
"2020-Jan-09","59.56","59.99","60.31","58.66","750.93K","-0.08%"
"2020-Jan-08","59.61","62.84","65.65","59.15","1.21M","-4.93%"
"2020-Jan-07","62.70","62.91","63.15","62.11","582.65K","-0.90%"
"2020-Jan-06","63.27","63.71","64.72","62.64","724.24K","0.35%"
"2020-Jan-03","63.05","61.18","64.09","61.13","885.86K","3.06%"
"2020-Jan-02","61.18","61.60","61.60","60.64","486.87K","-0.24%"
"2020-Jan-01","61.33","61.52","61.54","61.33","-","0.44%"
"2019-Dec-31","61.06","61.68","61.88","60.63","494.54K","-1.01%"
"2019-Dec-30","61.68","61.71","62.34","61.09","427.15K","-0.06%"
"2019-Dec-27","61.72","61.73","61.97","61.24","351.90K","0.06%"
"2019-Dec-26","61.68","61.20","61.83","61.06","265.09K","0.80%"
"2019-Dec-25","61.19","61.45","61.52","61.17","-","0.13%"
"2019-Dec-24","61.11","60.63","61.16","60.47","204.54K","0.97%"
"2019-Dec-23","60.52","60.41","60.77","60.10","314.71K","0.13%"
"2019-Dec-20","60.44","61.11","61.20","60.02","552.52K","-1.27%"
"2019-Dec-19","61.22","60.86","61.47","60.79","35.46K","0.48%"
"2019-Dec-18","60.93","60.55","61.18","60.32","131.07K","-0.02%"
"2019-Dec-17","60.94","60.23","61.06","60.03","163.74K","1.21%"
"2019-Dec-16","60.21","59.87","60.34","59.71","347.40K","0.23%"
"2019-Dec-13","60.07","59.36","60.48","59.27","512.29K","1.50%"
"2019-Dec-12","59.18","58.88","59.72","58.75","530.85K","0.71%"
"2019-Dec-11","58.76","59.06","59.22","58.11","589.65K","-0.81%"
"2019-Dec-10","59.24","58.92","59.52","58.52","566.82K","0.37%"
"2019-Dec-09","59.02","59.11","59.25","58.23","511.56K","-0.30%"
"2019-Dec-06","59.20","58.32","59.85","57.70","679.61K","1.32%"
"2019-Dec-05","58.43","58.36","59.12","58.10","649.46K","0.00%"
"2019-Dec-04","58.43","56.43","58.66","56.28","760.54K","4.15%"
"2019-Dec-03","56.10","55.96","56.80","55.35","560.55K","0.25%"
"2019-Dec-02","55.96","55.47","56.67","55.42","616.42K","1.43%"
"2019-Nov-29","55.17","58.13","58.30","55.02","718.72K","-5.01%"
"2019-Nov-28","58.08","57.97","58.29","57.64","-","-0.05%"
"2019-Nov-27","58.11","58.27","58.68","57.51","454.26K","-0.51%"
"2019-Nov-26","58.41","57.92","58.56","57.76","443.82K","0.69%"
"2019-Nov-25","58.01","57.92","58.15","57.21","420.64K","0.42%"
"2019-Nov-22","57.77","58.31","58.74","57.50","508.24K","-1.38%"
"2019-Nov-21","58.58","57.00","58.67","56.60","593.53K","2.57%"
"2019-Nov-20","57.11","55.16","57.25","54.76","31.92K","3.44%"
"2019-Nov-19","55.21","56.90","57.11","55.04","121.21K","-3.23%"
"2019-Nov-18","57.05","57.88","58.09","56.55","159.33K","-1.16%"
"2019-Nov-15","57.72","56.91","57.97","56.43","375.99K","1.67%"
"2019-Nov-14","56.77","57.39","57.79","56.63","516.83K","-0.61%"
"2019-Nov-13","57.12","56.79","57.53","56.20","547.64K","0.56%"
"2019-Nov-12","56.80","56.89","57.55","56.54","586.57K","-0.11%"
"2019-Nov-11","56.86","57.40","57.40","56.25","498.98K","-0.66%"
"2019-Nov-08","57.24","57.08","57.48","55.76","636.94K","0.16%"
"2019-Nov-07","57.15","56.35","57.88","56.27","678.17K","1.42%"
"2019-Nov-06","56.35","57.26","57.85","56.11","623.26K","-1.54%"
"2019-Nov-05","57.23","56.56","57.50","56.30","435.32K","1.22%"
"2019-Nov-04","56.54","56.41","57.43","55.83","580.35K","0.60%"
"2019-Nov-01","56.20","54.15","56.33","54.07","538.12K","3.73%"
"2019-Oct-31","54.18","54.90","55.59","53.71","677.42K","-1.60%"
"2019-Oct-30","55.06","55.53","55.73","54.42","659.33K","-0.86%"
"2019-Oct-29","55.54","55.80","55.91","54.61","521.46K","-0.48%"
"2019-Oct-28","55.81","56.65","56.92","55.58","437.02K","-1.50%"
"2019-Oct-25","56.66","56.07","56.74","55.60","445.02K","0.76%"
"2019-Oct-24","56.23","55.90","56.51","55.41","480.76K","0.46%"
"2019-Oct-23","55.97","54.30","56.07","53.62","620.20K","3.34%"
"2019-Oct-22","54.16","53.39","54.62","53.10","33.92K","1.59%"
"2019-Oct-21","53.31","53.71","54.03","52.71","95.98K","-0.87%"
"2019-Oct-18","53.78","54.09","54.62","53.35","174.48K","-0.28%"
"2019-Oct-17","53.93","52.99","54.16","52.62","418.42K","1.07%"
"2019-Oct-16","53.36","52.92","53.74","52.51","451.64K","1.04%"
"2019-Oct-15","52.81","53.51","53.79","52.39","511.25K","-1.46%"
"2019-Oct-14","53.59","54.90","54.90","52.77","467.64K","-2.03%"
"2019-Oct-11","54.70","53.88","54.93","53.64","741.70K","2.15%"
"2019-Oct-10","53.55","52.69","53.97","51.38","613.94K","1.83%"
"2019-Oct-09","52.59","52.57","53.74","52.31","632.67K","-0.08%"
"2019-Oct-08","52.63","52.81","53.27","51.81","658.32K","-0.23%"
"2019-Oct-07","52.75","52.69","54.06","52.59","549.02K","-0.11%"
"2019-Oct-04","52.81","52.29","53.35","52.04","541.10K","0.69%"
"2019-Oct-03","52.45","52.47","52.91","50.99","642.47K","-0.36%"
"2019-Oct-02","52.64","54.00","54.42","52.17","590.31K","-1.83%"
"2019-Oct-01","53.62","54.28","54.84","53.05","589.18K","-0.83%"
"2019-Sep-30","54.07","56.54","56.57","53.98","532.52K","-3.29%"
"2019-Sep-27","55.91","56.51","56.76","54.75","712.97K","-0.89%"
"2019-Sep-26","56.41","56.69","56.84","55.41","599.65K","-0.14%"
"2019-Sep-25","56.49","56.70","57.02","55.55","563.55K","-1.40%"
"2019-Sep-24","57.29","58.44","58.49","56.69","591.53K","-2.30%"
"2019-Sep-23","58.64","59.25","59.39","57.37","526.79K","0.95%"
"2019-Sep-20","58.09","58.65","59.10","57.79","37.98K","-0.07%"
"2019-Sep-19","58.13","58.20","59.54","58.01","112.33K","0.03%"
"2019-Sep-18","58.11","58.81","59.43","57.67","216.96K","-2.07%"
"2019-Sep-17","59.34","61.96","62.59","58.46","993.24K","-5.66%"
"2019-Sep-16","62.90","61.48","63.38","58.77","1.40M","14.68%"
"2019-Sep-13","54.85","55.15","55.68","54.44","599.47K","-0.44%"
"2019-Sep-12","55.09","55.93","56.34","54.00","845.98K","-1.18%"
"2019-Sep-11","55.75","57.89","58.30","55.61","858.77K","-2.87%"
"2019-Sep-10","57.40","58.03","58.76","57.20","755.47K","-0.78%"
"2019-Sep-09","57.85","56.80","58.16","56.58","646.99K","2.35%"
"2019-Sep-06","56.52","56.19","56.95","54.83","714.29K","0.39%"
"2019-Sep-05","56.30","55.95","57.76","55.75","712.47K","0.07%"
"2019-Sep-04","56.26","53.92","56.58","53.84","682.30K","4.30%"
"2019-Sep-03","53.94","55.00","55.24","52.84","970.80K","-1.32%"
"2019-Sep-02","54.66","54.81","55.22","54.36","-","-0.26%"
"2019-Sep-01","54.80","55.00","55.00","54.56","-","-0.54%"
"2019-Aug-30","55.10","56.63","56.72","54.55","708.27K","-2.84%"
"2019-Aug-29","56.71","55.88","56.89","55.43","630.76K","1.67%"
"2019-Aug-28","55.78","55.71","56.75","55.34","674.05K","1.55%"
"2019-Aug-27","54.93","53.76","55.72","53.69","596.62K","2.40%"
"2019-Aug-26","53.64","53.25","55.26","52.96","679.02K","-0.98%"
"2019-Aug-23","54.17","55.35","55.60","53.24","807.15K","-2.13%"
"2019-Aug-22","55.35","55.94","56.46","54.85","621.57K","-0.59%"
"2019-Aug-21","55.68","56.05","57.13","55.55","704.04K","-1.17%"
"2019-Aug-20","56.34","56.10","56.60","55.28","47.45K","0.23%"
"2019-Aug-19","56.21","54.96","56.41","54.84","113.57K","2.44%"
"2019-Aug-16","54.87","54.74","55.67","54.26","168.35K","0.73%"
"2019-Aug-15","54.47","54.90","55.33","53.77","527.87K","-1.38%"
"2019-Aug-14","55.23","56.74","56.85","53.97","718.29K","-3.27%"
"2019-Aug-13","57.10","54.73","57.47","54.21","783.49K","3.95%"
"2019-Aug-12","54.93","54.32","55.18","53.54","611.03K","0.79%"
"2019-Aug-09","54.50","52.88","54.92","52.37","726.39K","3.73%"
"2019-Aug-08","52.54","52.33","53.06","51.94","724.76K","2.84%"
"2019-Aug-07","51.09","53.42","53.77","50.52","1.06M","-4.74%"
"2019-Aug-06","53.63","54.95","55.42","53.29","682.79K","-1.94%"
"2019-Aug-05","54.69","55.38","55.61","54.22","823.84K","-1.74%"
"2019-Aug-02","55.66","54.54","56.05","54.15","739.81K","3.17%"
"2019-Aug-01","53.95","57.85","57.99","53.59","886.75K","-7.90%"
"2019-Jul-31","58.58","58.34","58.82","57.81","614.00K","0.91%"
"2019-Jul-30","58.05","57.07","58.47","56.96","547.40K","2.07%"
"2019-Jul-29","56.87","56.20","57.10","55.81","529.74K","1.19%"
"2019-Jul-26","56.20","55.93","56.57","55.68","476.79K","0.32%"
"2019-Jul-25","56.02","55.90","56.99","55.81","559.28K","0.25%"
"2019-Jul-24","55.88","57.23","57.64","55.33","745.25K","-1.57%"
"2019-Jul-23","56.77","56.17","57.47","55.74","521.88K","0.98%"
"2019-Jul-22","56.22","56.22","56.84","55.72","24.30K","1.06%"
"2019-Jul-19","55.63","55.72","56.36","54.99","105.22K","0.60%"
"2019-Jul-18","55.30","56.60","57.32","54.72","215.36K","-2.61%"
"2019-Jul-17","56.78","57.52","58.36","56.21","504.43K","-1.46%"
"2019-Jul-16","57.62","59.26","60.06","57.07","712.54K","-3.29%"
"2019-Jul-15","59.58","60.25","60.92","59.20","566.82K","-1.05%"
"2019-Jul-12","60.21","60.46","60.74","59.93","469.03K","0.02%"
"2019-Jul-11","60.20","60.44","60.94","60.14","573.02K","-0.38%"
"2019-Jul-10","60.43","58.40","60.53","58.35","690.66K","4.50%"
"2019-Jul-09","57.83","57.56","59.10","57.29","551.87K","0.29%"
"2019-Jul-08","57.66","57.77","58.46","57.30","540.86K","0.26%"
"2019-Jul-05","57.51","57.38","57.82","56.29","698.02K","1.25%"
"2019-Jul-04","56.80","57.41","57.57","56.48","-","-0.94%"
"2019-Jul-03","57.34","56.49","57.48","56.04","600.13K","1.94%"
"2019-Jul-02","56.25","59.14","59.43","56.09","878.94K","-4.81%"
"2019-Jul-01","59.09","59.27","60.28","58.34","674.89K","1.06%"
"2019-Jun-28","58.47","59.22","59.80","57.75","556.10K","-1.62%"
"2019-Jun-27","59.43","59.27","59.73","58.61","531.41K","0.08%"
"2019-Jun-26","59.38","58.84","59.93","58.65","686.82K","2.68%"
"2019-Jun-25","57.83","57.74","58.84","57.20","673.14K","-0.12%"
"2019-Jun-24","57.90","57.72","58.22","56.75","597.16K","0.82%"
"2019-Jun-21","57.43","57.26","57.98","56.66","676.05K","1.38%"
"2019-Jun-20","56.65","54.12","57.02","54.11","27.88K","5.38%"
"2019-Jun-19","53.76","54.09","54.42","53.28","122.84K","-0.26%"
"2019-Jun-18","53.90","51.95","54.31","51.50","181.64K","3.79%"
"2019-Jun-17","51.93","52.50","52.74","51.58","397.87K","-1.10%"
"2019-Jun-14","52.51","52.18","52.98","51.70","574.23K","0.44%"
"2019-Jun-13","52.28","51.07","53.45","50.92","945.02K","2.23%"
"2019-Jun-12","51.14","53.04","53.05","50.72","786.11K","-4.00%"
"2019-Jun-11","53.27","53.43","54.04","52.91","642.94K","0.02%"
"2019-Jun-10","53.26","54.24","54.84","53.05","687.15K","-1.35%"
"2019-Jun-07","53.99","53.10","54.32","52.62","828.13K","2.66%"
"2019-Jun-06","52.59","51.66","53.30","51.17","790.07K","1.76%"
"2019-Jun-05","51.68","52.86","53.41","50.60","943.19K","-3.37%"
"2019-Jun-04","53.48","52.89","53.78","52.43","831.63K","0.43%"
"2019-Jun-03","53.25","53.42","54.63","52.11","984.31K","-0.47%"
"2019-May-31","53.50","56.46","56.61","53.05","1.03M","-5.46%"
"2019-May-30","56.59","59.12","59.70","56.33","842.28K","-3.77%"
"2019-May-29","58.81","59.07","59.14","56.88","1.12M","-0.56%"
"2019-May-28","59.14","58.94","59.57","58.13","1.02M","-0.03%"
"2019-May-27","59.16","58.77","59.26","58.14","-","0.66%"
"2019-May-26","58.77","58.94","59.00","58.67","-","0.24%"
"2019-May-24","58.63","58.21","59.10","57.50","758.10K","1.24%"
"2019-May-23","57.91","61.31","61.41","57.33","1.11M","-5.71%"
"2019-May-22","61.42","62.95","63.00","61.03","766.73K","-2.49%"
"2019-May-21","62.99","63.22","63.60","62.75","28.91K","-0.17%"
"2019-May-20","63.10","62.93","63.81","62.45","131.89K","0.54%"
"2019-May-17","62.76","63.12","63.64","62.52","215.80K","-0.17%"
"2019-May-16","62.87","62.12","63.48","62.08","545.68K","1.37%"
"2019-May-15","62.02","61.37","62.34","60.85","723.00K","0.39%"
"2019-May-14","61.78","60.86","62.11","60.69","751.67K","1.21%"
"2019-May-13","61.04","61.65","63.33","60.64","1.00M","-1.01%"
"2019-May-10","61.66","61.64","62.49","61.42","786.49K","-0.06%"
"2019-May-09","61.70","62.02","62.21","60.92","769.58K","-0.68%"
"2019-May-08","62.12","61.44","62.37","61.07","791.77K","1.17%"
"2019-May-07","61.40","62.17","62.49","60.66","842.81K","-1.37%"
"2019-May-06","62.25","61.43","62.95","60.04","768.81K","0.50%"
"2019-May-03","61.94","61.55","62.52","61.30","646.87K","0.21%"
"2019-May-02","61.81","63.61","63.68","60.95","914.66K","-2.81%"
